,id,reference_space_id,structure_id,x,y,z
317,359,1,126651882,4608,2544,1120
318,1126,2,17355,6640,2992,2680
319,1999,3,16212,5504,3184,3160
320,1247,2,17598,7872,2896,2880
321,4115,7,16919,11090,3635,3125
322,2514,4,16742,7072,2048,3700
323,7610,9,16487,8050,4875,6625
324,8563,10,17091,8825,5900,5615
325,2401,3,16624,6560,1840,3380
326,8147,10,16811,10450,3550,5265
327,203,1,17415,4384,3408,1360
328,3974,6,16742,6651,3685,3900
329,210,1,17477,5072,4096,1300
330,223,1,17650,4176,4528,1340
331,3887,5,17157,6864,2928,2280
332,4109,7,16811,11458,3501,4850
333,3872,5,16876,5280,2256,2540
334,6194,9,15570,5300,5125,5750
335,3422,4,17692,9264,4192,3320
336,4019,6,17318,8192,5176,3480
337,3952,6,16368,6299,4238,3900
338,8820,9,17250,9975,6550,6475
339,1246,2,17597,8016,2672,3080
340,7421,10,16377,7650,2425,5515
341,2079,3,16306,6640,2704,3680
342,3421,3,17692,9264,4192,3320
343,319,1,126651650,3040,1632,1480
344,3878,5,17024,6864,2864,2220
345,3980,6,16791,7086,3250,3080
346,1217,2,17540,7552,2752,2880
347,3862,5,16726,5008,2096,2580
348,3934,6,15740,3618,2982,3880
349,4076,7,16368,7873,5310,4850
350,194,1,17291,5072,2928,1100
351,1001,2,17094,6832,2448,2600
352,2530,4,16753,8192,2256,3740
353,8710,9,17182,9325,6300,6500
354,7420,9,16377,7650,2425,5875
355,8037,10,16742,8525,5250,5640
356,4150,7,17415,10537,6885,4850
357,4017,6,17291,8962,3769,3620
358,3894,5,17250,5840,3920,2600
359,3949,6,16313,5277,4272,2620
360,5698,8,17500,12715,6684,4625
361,3956,6,16382,5344,3367,3100
362,4080,7,16382,6667,3870,3800
363,4885,8,16487,8594,5042,4025
364,7611,10,16487,8050,4875,4765
365,7649,10,16511,7950,2725,5640
366,206,1,17418,4672,3664,1060
367,817,2,16652,6960,1024,3240
368,8933,10,17318,10575,6625,5115
369,1216,2,17539,7728,2416,2980
370,9447,10,17650,12550,7175,5665
371,2833,3,17094,7840,3040,2880
372,5748,8,17562,13083,6617,4800
373,5822,8,17692,13653,6500,5125
374,894,2,16805,5904,1648,3360
375,4068,7,16306,7991,5545,4850
376,86,1,16487,3376,1168,1260
377,4128,7,17155,8795,5846,4850
378,4735,8,16306,8594,5930,5175
379,5776,8,17598,13854,5980,4375
380,6447,10,15740,6050,3200,5040
381,3853,5,16519,4304,1792,2160
382,4001,6,17094,9080,3970,2360
383,4013,6,17223,8426,4741,2760
384,213,1,17537,4416,3936,1380
385,376,1,126651990,4912,3968,1260
386,8050,9,16753,10500,2400,5800
387,7832,9,16624,8425,4400,6425
388,802,2,16624,5392,1520,3060
389,1596,4,15666,6192,3488,3460
390,2677,3,16911,7376,2176,3660
391,4055,7,15736,8175,5679,4850
392,8242,9,16876,9400,4300,6450
393,164,1,16876,4048,1504,1180
394,589,2,16212,4736,2864,2860
395,4790,8,16377,7538,2747,5000
396,8454,9,17022,8700,5675,5750
397,1272,2,17650,7568,3360,3100
398,3371,3,17620,8912,3920,3400
399,8889,10,17291,11675,4800,5490
400,1032,2,17157,6736,2544,2500
401,4097,7,16726,8493,4071,4200
402,5106,8,16753,10688,2714,5075
403,8775,10,17222,11500,4425,4990
404,4075,7,16353,7656,5143,3750
405,8311,10,16919,11525,3550,3015
406,3912,5,17540,7648,3648,2260
407,7651,10,16519,8100,3250,4640
408,3039,3,17291,8000,3040,3280
409,8149,10,16813,11750,3150,5015
410,3888,5,17158,6112,3520,2000
411,9099,10,17418,12275,5900,4165
412,9128,9,17437,11725,6850,6300
413,382,1,126652030,4544,4688,1340
414,2828,4,17091,7024,2992,3660
415,9193,10,17475,11150,7325,5665
416,3944,6,16306,6299,4506,3900
417,6196,9,15576,5400,6350,6400
418,1595,3,15666,6192,3488,3460
419,9097,10,17417,12150,4875,5465
420,4133,7,17219,8979,6265,4850
421,3846,5,16377,3344,1264,2740
422,3951,6,16353,6165,4222,3140
423,7884,9,16658,9575,2150,6525
424,3231,3,17477,8576,2912,3420
425,3827,5,15740,2448,2080,2740
426,4009,6,17219,7002,5478,3880
427,7210,9,16247,7475,6075,6600
428,197,1,17351,4304,3152,1400
429,129,1,16726,3808,1120,1160
430,357,1,126651866,4192,2368,1360
431,2597,3,16813,7632,2256,3140
432,3958,6,16487,6332,3853,3080
433,3128,4,17380,7648,3936,3460
434,4034,6,17540,9984,4506,3180
435,3312,4,17562,8576,4032,3360
436,178,1,17094,5152,2352,1160
437,4038,6,17620,10068,5143,3480
438,3852,5,16511,3920,1264,2740
439,3902,5,17355,6832,3616,2340
440,356,1,126651862,4528,2368,1000
441,731,2,16511,4704,1184,3380
442,8458,9,17024,11525,4325,6350
443,220,1,17597,4624,4896,1380
444,7158,9,16212,6550,5775,7175
445,200,1,17354,5072,3280,1220
446,9389,10,17598,12950,5725,3340
447,3913,5,17562,7536,4016,2600
448,3970,6,16652,8275,2278,3900
449,4143,7,17318,10219,6332,4450
450,2088,4,16311,5056,2240,3040
451,2414,4,16641,6704,2128,3720
452,7863,10,16641,8325,5150,5640
453,180,1,17123,4000,2464,1240
454,8569,10,17094,12125,5500,3015
455,3876,5,16967,5424,2704,2480
456,1155,2,17418,6896,2928,2680
457,346,1,126651798,4528,1760,1300
458,3879,5,17025,6000,3216,2060
459,314,1,126651622,3120,1984,1420
460,3996,6,17025,8058,4205,2560
461,3859,5,16652,4448,992,2740
462,5645,8,17437,12212,6667,4625
463,9384,9,17595,12100,7200,5750
464,1214,2,17537,7232,3328,3100
465,5155,8,16813,12078,3518,4550
466,370,1,126651950,4928,3312,1240
467,227,1,17692,1712,4976,1480
468,2997,3,17250,7040,3744,3420
469,132,1,16742,3920,1136,1360
470,3294,4,17540,8736,3440,3060
471,983,2,17053,5904,2528,3140
472,1527,3,15576,5104,3584,3380
473,2963,3,17219,6928,3584,3660
474,5418,8,17158,11358,5763,3650
475,970,2,17024,6896,2368,2660
476,349,1,126651818,4544,1968,1060
477,4147,7,17354,11056,4959,4675
478,9298,9,17537,11600,7250,5725
479,4659,8,16212,7321,5763,3800
480,374,1,126651974,4752,3664,1260
481,6197,10,15576,5400,6350,4990
482,8675,10,17158,10825,5825,3665
483,9451,10,17692,12975,6900,5565
484,7408,9,16368,8000,5600,5750
485,9303,10,17540,12875,5975,3665
486,2861,3,17123,6752,3312,3400
487,4073,7,16313,6533,4858,3225
488,8301,10,16911,8650,5450,5640
489,216,1,17540,4752,4368,1160
490,6449,10,15750,4900,3525,3090
491,3898,5,17318,6256,3984,2640
492,4784,8,16368,8510,5729,5175
493,5732,8,17540,13603,5813,3850
494,5836,8,17734,13368,7019,5200
495,4159,7,17500,11576,6684,4275
496,5790,8,17620,13402,6600,5050
497,8053,10,16754,9900,3150,4440
498,217,1,17562,4496,4288,1340
499,4130,7,17157,10872,4758,3300
500,2283,3,16519,6112,1536,3240
501,168,1,16919,4336,1824,740
502,5577,8,17354,12229,5042,5000
503,6448,9,15750,4900,3525,8300
504,3966,6,16641,6416,3769,3900
505,8007,10,16726,8875,4250,4915
506,8673,10,17157,11800,5550,2890
507,3929,6,15623,5026,5662,3260
508,9302,9,17540,12875,5975,7725
509,717,2,16487,5120,1760,3060
510,1152,2,17415,6752,3200,3160
511,7427,10,16382,6925,4025,4590
512,723,2,16502,5408,1872,3340
513,2761,3,17024,7984,2976,2980
514,3840,5,16311,3024,2496,2180
515,5011,8,16641,8778,5277,5175
516,109,1,16652,4400,752,1440
517,602,2,16247,5152,2352,2960
518,5236,8,16919,11592,3903,2700
519,102,1,16624,3504,1024,1240
520,363,1,126651906,4784,2720,1120
521,6320,9,15666,7225,6775,6275
522,190,1,17223,4304,2864,840
523,7637,10,16502,8025,5300,5640
524,4007,6,17158,8242,4624,2500
525,4089,7,16624,8158,4305,4050
